cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
SUM 149PT	Homo sapiens	breast	breast ductal adenocarcinoma	not available	not available	female	not available	not available
SUM 159PT	Homo sapiens	breast	breast anaplastic carcinoma	not available	not available	female	not available	not available
SUM 229PE	Homo sapiens	breast	breast carcinoma	not available	not available	female	not available	not available
SUM 52PE	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
SW 1116	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
SW 1417	Homo sapiens	colon	colon adenocarcinoma	not available	not available	female	not available	not available
SW 1463	Homo sapiens	colon	colon adenocarcinoma	66 year	not available	female	not available	not available
SW 403	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
SW 48	Homo sapiens	colon	colon adenocarcinoma	82 year	not available	female	not available	not available
SW 480	Homo sapiens	colon	colon adenocarcinoma	50 year	not available	male	not available	not available
SW 527	Homo sapiens	breast	breast adenocarcinoma	not available	not available	female	not available	not available
SW 620	Homo sapiens	colon	colon adenocarcinoma	51 year	not available	male	not available	not available
SW 837	Homo sapiens	rectum	rectal adenocarcinoma	53 year	not available	male	not available	not available
SW 948	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
SW 982	Homo sapiens	breast	breast synovial sarcoma	25 year	not available	female	not available	not available
TMD8	Homo sapiens	blood	diffuse large B-cell lymphoma	62 year	not available	male	not available	not available
TYK-nu.CP-r	Homo sapiens	ovary	ovarian carcinoma; high grade ovarian serous adenocarcinoma	not available	adult	not available; female	not available	not available
U-2932	Homo sapiens	blood	B-cell lymphoma	not available	not available	not available	not available	not available
UCSD-242l	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
UKE-1	Homo sapiens	blood	leukemia	not available	not available	not available	not available	not available
WiDr	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
WSU-FSCCL	Homo sapiens	lymph node	B-cell lymphoma	37 year	not available	not available	not available	not available
YMB-1	Homo sapiens	breast	breast carcinoma	55 year	not available	female	not available	not available
YMB-1-E	Homo sapiens	breast	breast carcinoma	55 year	not available	female	not available	not available
A2780/CP70	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma	not available	adult	female	not available	not available
CaOv3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
primary fallopian tube epithelial cell	Homo sapiens	ovary	normal	not available	adult	female	not available	not available
HEY A8	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
IGROV-1/CP	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma	not available	adult	female	not available	not available
IOSE-397	Homo sapiens	ovary	premalignant ovarian carcinoma	not available	adult	female	not available	not available
IOSE-7576	Homo sapiens	ovary	premalignant ovarian carcinoma	not available	adult	female	not available	not available
ME180C13	Homo sapiens	ovary	cervical squamous cell carcinoma	not available	adult	female	not available	not available
PEO4	Homo sapiens	ovary	ovarian cystadenocarcinoma	not available	adult	female	not available	not available
SKOV3IP	Homo sapiens	ovary	ovarian serous cystadenocarcinoma	not available	adult	female	not available	not available
TOV112DR	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma	not available	adult	female	not available	not available
tumour tissue from individual 1	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
tumour tissue from individual 2	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
tumour tissue from individual 3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
tumour tissue from individual 4	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
tumour tissue from individual 5	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	adult	female	not available	not available
C125PM	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
C135	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
C70	Homo sapiens	colon	colorectal adenocarcinoma	not available	not available	not available	not available	not available
COLO201	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
COLO320	Homo sapiens	colorectum	colon adenocarcinoma	not available	not available	not available	not available	not available
DiFi	Homo sapiens	colon	colorectal adenocarcinoma	not available	not available	not available	not available	not available
DLD1	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
HCT8	Homo sapiens	ileum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
HRA19	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
Isreco-1	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
Isreco-2	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
Isreco-3	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
LIM1863	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
LIM1899	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
LIM2099	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
LIM2405	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
LIM2537	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
LIM2551	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
SNU175	Homo sapiens	colorectum	colon adenocarcinoma	not available	not available	not available	not available	not available
SNUC2B	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
SW1222	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
VACO4S	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
VACO5	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
VACO9P	Homo sapiens	colorectum	colorectal adenocarcinoma	not available	not available	not available	not available	not available
BT20	Homo sapiens	breast	invasive ductal carcinoma	not available	not available	not available	not available	not available
BT474	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast ductal adenocarcinoma		not available	not available	not available
MDAMB157	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
MDAMB436	Homo sapiens	breast	invasive ductal carcinoma	not available	not available	not available	not available	not available
MDAMB453	Homo sapiens	breast	breast adenocarcinoma	not available	not available	not available	not available	not available
SKBR3	Homo sapiens	breast	breast adenocarcinoma	not available	not available	not available	not available	not available
SW527	Homo sapiens	breast	breast adenocarcinoma	not available	not available	not available	not available	not available
not applicable	Homo sapiens	breast	triple-negative breast cancer	not available	adult	not available	not available	not available
46BR.1N	Homo sapiens	skin	hypogammaglobulinemia				not available
